67308440
43 Records exported
"CostBasis for Single Account as of 10:12PM ET, 08/17/2025"
Total Known Market Value,Total Known Cost Basis,Total Known Unrealized Gain(Loss)$/%, Short Term Unrealized Gain(Loss)$/%, Long Term Unrealized Gain(Loss)$/%
"$4,718,201.83","$1,489,675.48","$3,099,676.57/208.08%","($19,392.43)/(6.93%)","$3,119,069.07/257.79%"
Cost Basis - Unrealized Gain/(Loss)

Symbol,Name,Acquired/Opened,Quantity,Market Value,Cost Basis, Cost per Share,($)Unrealized Gain/(Loss),(%)Unrealized Gain/(Loss),Holding Period,Notes,Original Cost Basis,($)Original UGL Gain/Loss,(%)Original UGL Gain/Loss
IBM,IBM CORP,09/10/2021,2.89900,"$694.95","$383.57","$132.3111","$311.38","81.18%",Long Term,,"","",""
IBM,IBM CORP,12/10/2021,3.26200,"$781.97","$405.07","$124.1784","$376.90","93.05%",Long Term,,"","",""
IBM,IBM CORP,03/10/2022,3.29700,"$790.36","$410.42","$124.4829","$379.94","92.57%",Long Term,,"","",""
IBM,IBM CORP,06/10/2022,3.07500,"$737.14","$418.36","$136.0520","$318.78","76.20%",Long Term,,"","",""
IBM,IBM CORP,09/12/2022,3.24500,"$777.89","$423.44","$130.4900","$354.45","83.71%",Long Term,,"","",""
IBM,IBM CORP,12/12/2022,2.90900,"$697.35","$428.79","$147.4012","$268.56","62.63%",Long Term,,"","",""
IBM,IBM CORP,03/10/2023,3.42300,"$820.56","$433.59","$126.6696","$386.97","89.25%",Long Term,,"","",""
IBM,IBM CORP,06/12/2023,3.24500,"$777.89","$441.90","$136.1787","$335.99","76.03%",Long Term,,"","",""
IBM,IBM CORP,12/12/2023,2.70080,"$647.44","$447.29","$165.6139","$200.15","44.75%",Long Term,,"","",""
IBM,IBM CORP,03/11/2024,2.35740,"$565.12","$451.77","$191.6391","$113.35","25.09%",Long Term,,"","",""
IDMO,INVSC S P INTERNATIONL  DVLP MNTM ETF,05/29/2024,275.00000,"$14,580.50","$11,248.27","$40.9028","$3,332.23","29.62%",Long Term,,"","",""
INTC,INTEL CORP,01/27/1994,999.91600,"$24,557.94","$4,079.96","$4.0803","$20,477.98","501.92%",Long Term,,"","",""
INTC,INTEL CORP,09/01/2011,10.36400,"$254.54","$210.00","$20.2624","$44.54","21.21%",Long Term,,"","",""
INTC,INTEL CORP,12/01/2011,8.51300,"$209.08","$212.18","$24.9242","($3.10)","(1.46%)",Long Term,,"","",""
INTC,INTEL CORP,03/01/2012,7.90600,"$194.17","$213.96","$27.0630","($19.79)","(9.25%)",Long Term,,"","",""
INTC,INTEL CORP,06/01/2012,8.46600,"$207.92","$215.62","$25.4689","($7.70)","(3.57%)",Long Term,,"","",""
INTC,INTEL CORP,09/04/2012,9.32100,"$228.92","$232.93","$24.9898","($4.01)","(1.72%)",Long Term,,"","",""
INTC,INTEL CORP,12/03/2012,11.84200,"$290.84","$235.03","$19.8472","$55.81","23.75%",Long Term,,"","",""
INTC,INTEL CORP,03/01/2013,11.44000,"$280.97","$237.69","$20.7771","$43.28","18.21%",Long Term,,"","",""
INTC,INTEL CORP,06/03/2013,9.66400,"$237.35","$240.27","$24.8624","($2.92)","(1.22%)",Long Term,,"","",""
INTC,INTEL CORP,09/03/2013,10.92900,"$268.42","$242.44","$22.1832","$25.98","10.72%",Long Term,,"","",""
INTC,INTEL CORP,12/02/2013,10.21200,"$250.81","$244.90","$23.9816","$5.91","2.41%",Long Term,,"","",""
INTC,INTEL CORP,03/03/2014,10.06900,"$247.29","$247.20","$24.5506","$0.09","0.04%",Long Term,,"","",""
INTC,INTEL CORP,06/02/2014,9.13600,"$224.38","$249.46","$27.3052","($25.08)","(10.05%)",Long Term,,"","",""
INTC,INTEL CORP,09/02/2014,0.37460,"$9.20","$13.04","$34.8105","($3.84)","(29.45%)",Long Term,,"","",""
INTC,INTEL CORP,09/01/2015,9.85900,"$242.14","$275.52","$27.9460","($33.38)","(12.12%)",Long Term,,"","",""
INTC,INTEL CORP,06/01/2023,5.42100,"$133.14","$169.91","$31.3429","($36.77)","(21.64%)",Long Term,,"","",""
INTC,INTEL CORP,09/01/2023,4.70600,"$115.58","$170.59","$36.2495","($55.01)","(32.25%)",Long Term,,"","",""
INTC,INTEL CORP,12/04/2023,4.08750,"$100.39","$171.18","$41.8789","($70.79)","(41.35%)",Long Term,,"","",""
INTC,INTEL CORP,03/04/2024,3.87510,"$95.17","$171.69","$44.3060","($76.52)","(44.57%)",Long Term,,"","",""
JMST,JPMORGAN ULTRA SHRT     MUNCIPL INCM ETF,12/11/2018,564.71610,"$28,792.05","$28,371.56","$50.2404","$420.49","1.48%",Long Term,,"","",""
JMST,JPMORGAN ULTRA SHRT     MUNCIPL INCM ETF,06/12/2020,0.79400,"$40.48","$40.44","$50.9320","$0.04","0.10%",Long Term,w,"","",""
JMST,JPMORGAN ULTRA SHRT     MUNCIPL INCM ETF,01/12/2021,0.44580,"$22.73","$22.71","$50.9421","$0.02","0.09%",Long Term,w,"","",""
JMST,JPMORGAN ULTRA SHRT     MUNCIPL INCM ETF,07/14/2021,0.39800,"$20.29","$20.27","$50.9296","$0.02","0.10%",Long Term,w,"","",""
JMST,JPMORGAN ULTRA SHRT     MUNCIPL INCM ETF,10/06/2023,4.52420,"$230.67","$227.52","$50.2896","$3.15","1.38%",Long Term,,"","",""
JMST,JPMORGAN ULTRA SHRT     MUNCIPL INCM ETF,11/07/2023,4.58270,"$233.65","$231.24","$50.4593","$2.41","1.04%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,08/13/1997,199.12000,"$35,172.56","$5,766.26","$28.9587","$29,406.30","509.97%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,11/21/2001,100.00000,"$17,664.00","$6,115.95","$61.1595","$11,548.05","188.82%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/14/2011,2.55400,"$451.14","$171.00","$66.9538","$280.14","163.82%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/13/2011,2.69800,"$476.57","$172.46","$63.9214","$304.11","176.34%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/13/2011,2.71900,"$480.28","$173.99","$63.9904","$306.29","176.04%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/13/2012,2.68600,"$474.46","$175.54","$65.3537","$298.92","170.29%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/12/2012,3.04900,"$538.58","$189.50","$62.1515","$349.08","184.21%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/11/2012,2.79800,"$494.24","$191.36","$68.3917","$302.88","158.28%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/11/2012,2.72200,"$480.81","$193.07","$70.9295","$287.74","149.03%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/12/2013,2.48000,"$438.07","$194.73","$78.5202","$243.34","124.96%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/11/2013,2.50800,"$443.01","$212.33","$84.6611","$230.68","108.64%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/10/2013,2.42600,"$428.53","$213.98","$88.2028","$214.55","100.27%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/10/2013,2.27900,"$402.56","$215.58","$94.5941","$186.98","86.73%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/11/2014,2.31800,"$409.45","$217.09","$93.6540","$192.36","88.61%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/10/2014,2.24300,"$396.20","$231.87","$103.3749","$164.33","70.87%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/09/2014,2.23900,"$395.50","$233.44","$104.2608","$162.06","69.42%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/09/2014,2.17300,"$383.84","$235.00","$108.1454","$148.84","63.34%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/10/2015,2.36600,"$417.93","$236.52","$99.9662","$181.41","76.70%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/09/2015,2.59300,"$458.03","$255.19","$98.4150","$202.84","79.49%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/08/2015,2.76100,"$487.70","$257.14","$93.1329","$230.56","89.66%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/08/2015,2.51300,"$443.90","$259.21","$103.1476","$184.69","71.25%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/08/2016,2.45300,"$433.30","$261.09","$106.4370","$172.21","65.96%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/07/2016,2.41800,"$427.12","$280.46","$115.9884","$146.66","52.29%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/06/2016,0.35600,"$62.88","$42.67","$119.8596","$20.21","47.36%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/06/2016,2.52800,"$446.55","$284.28","$112.4525","$162.27","57.08%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/13/2019,2.29200,"$404.86","$319.50","$139.3979","$85.36","26.72%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/12/2019,2.39000,"$422.17","$339.43","$142.0209","$82.74","24.38%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/11/2019,2.62700,"$464.03","$341.70","$130.0723","$122.33","35.80%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/11/2019,2.43500,"$430.12","$344.19","$141.3511","$85.93","24.97%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/11/2020,2.55200,"$450.79","$346.51","$135.7798","$104.28","30.09%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/10/2020,2.51000,"$443.37","$370.97","$147.7968","$72.40","19.52%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/08/2020,2.52500,"$446.02","$373.50","$147.9208","$72.52","19.42%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/08/2020,2.48200,"$438.42","$376.05","$151.5109","$62.37","16.59%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/09/2021,2.37500,"$419.52","$378.56","$159.3937","$40.96","10.82%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/08/2021,2.44900,"$432.59","$399.82","$163.2585","$32.77","8.20%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/07/2021,2.33600,"$412.63","$402.42","$172.2688","$10.21","2.54%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/07/2021,2.47900,"$437.89","$404.89","$163.3280","$33.00","8.15%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/08/2022,2.38200,"$420.76","$407.52","$171.0831","$13.24","3.25%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/07/2022,2.46500,"$435.42","$437.12","$177.3306","($1.70)","(0.39%)",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,09/06/2022,2.67000,"$471.63","$439.91","$164.7603","$31.72","7.21%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/06/2022,2.48500,"$438.95","$442.92","$178.2374","($3.97)","(0.90%)",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/07/2023,2.88400,"$509.43","$445.73","$154.5527","$63.70","14.29%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,06/06/2023,2.99000,"$528.15","$472.83","$158.1371","$55.32","11.70%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,12/06/2023,3.02810,"$534.88","$476.39","$157.3231","$58.49","12.28%",Long Term,,"","",""
JNJ,JOHNSON & JOHNSON,03/06/2024,2.99240,"$528.58","$479.99","$160.4030","$48.59","10.12%",Long Term,,"","",""
MAV,PIONEER MUNICIPAL HIGH I,05/29/2024,764.00000,"$6,169.30","$6,077.62","$7.9550","$91.68","1.51%",Long Term,,"","",""
MINO,PIMCO MUNICIPAL INCM OPPATV ETF,05/29/2024,184.00000,"$8,097.84","$8,293.80","$45.0750","($195.96)","(2.36%)",Long Term,,"","",""
MINO,PIMCO MUNICIPAL INCM OPPATV ETF,06/05/2024,0.63940,"$28.14","$28.89","$45.1830","($0.75)","(2.60%)",Long Term,,"","",""
MINO,PIMCO MUNICIPAL INCM OPPATV ETF,09/17/2024,300.00000,"$13,203.00","$13,793.97","$45.9799","($590.97)","(4.28%)",334 days,,"","",""
MRK,MERCK & CO. INC.,01/24/1994,317.00000,"$26,694.57","$2,392.81","$7.5483","$24,301.76","1015.62%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/08/2011,8.65700,"$729.01","$295.66","$34.1527","$433.35","146.57%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2011,9.84000,"$828.63","$298.79","$30.3648","$529.84","177.33%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/09/2012,9.13400,"$769.17","$334.19","$36.5875","$434.98","130.16%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/09/2012,9.18800,"$773.72","$337.83","$36.7686","$435.89","129.03%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/09/2012,8.60800,"$724.88","$341.51","$39.6736","$383.37","112.26%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/05/2012,7.79100,"$656.08","$344.95","$44.2754","$311.13","90.20%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/08/2013,8.85900,"$746.02","$356.35","$40.2246","$389.67","109.35%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/05/2013,8.38700,"$706.27","$359.98","$42.9212","$346.29","96.20%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/08/2013,8.03800,"$676.88","$363.42","$45.2127","$313.46","86.25%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2013,8.03900,"$676.96","$366.71","$45.6164","$310.25","84.60%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/08/2014,7.93600,"$668.29","$378.60","$47.7067","$289.69","76.52%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/07/2014,0.15400,"$12.97","$8.22","$53.3766","$4.75","57.79%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/08/2014,0.89900,"$75.70","$50.16","$55.7953","$25.54","50.92%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2014,0.85900,"$72.34","$48.57","$56.5425","$23.77","48.94%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/08/2015,0.76500,"$64.42","$45.19","$59.0719","$19.23","42.55%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/08/2015,0.29300,"$24.67","$16.17","$55.1877","$8.50","52.57%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/08/2015,0.40900,"$34.44","$22.39","$54.7433","$12.05","53.82%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2015,8.51200,"$716.80","$408.77","$48.0228","$308.03","75.36%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/08/2016,0.47800,"$40.25","$23.77","$49.7280","$16.48","69.33%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/07/2016,0.03600,"$3.03","$1.91","$53.0556","$1.12","58.64%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/08/2016,0.63300,"$53.30","$35.56","$56.1769","$17.74","49.89%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2016,0.22200,"$18.69","$13.28","$59.8198","$5.41","40.74%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/08/2019,6.26500,"$527.58","$483.98","$77.2514","$43.60","9.01%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/09/2019,6.02300,"$507.20","$487.25","$80.8982","$19.95","4.09%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/08/2019,6.16600,"$519.24","$490.41","$79.5345","$28.83","5.88%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/09/2020,6.41800,"$540.46","$547.49","$85.3054","($7.03)","(1.28%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/08/2020,7.29800,"$614.56","$551.22","$75.5303","$63.34","11.49%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/08/2020,7.44700,"$627.11","$555.45","$74.5871","$71.66","12.90%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2020,7.35700,"$619.53","$559.79","$76.0894","$59.74","10.67%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/08/2021,7.60900,"$640.75","$601.04","$78.9907","$39.71","6.61%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/07/2021,8.36500,"$704.42","$605.76","$72.4160","$98.66","16.29%",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/07/2021,8.18700,"$689.43","$641.52","$78.3584","$47.91","7.47%",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2021,7.89200,"$664.59","$646.84","$81.9615","$17.75","2.74%",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/07/2022,8.69100,"$731.87","$692.09","$79.6330","$39.78","5.75%",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/07/2022,8.08600,"$680.92","$698.09","$86.3332","($17.17)","(2.46%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/08/2022,7.53700,"$634.69","$703.66","$93.3608","($68.97)","(9.80%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/07/2022,8.07000,"$679.57","$708.87","$87.8401","($29.30)","(4.13%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/09/2023,6.65000,"$560.00","$755.85","$113.6617","($195.85)","(25.91%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/10/2023,6.77400,"$570.44","$760.70","$112.2970","($190.26)","(25.01%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,07/10/2023,6.95900,"$586.02","$765.65","$110.0230","($179.63)","(23.46%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,09/01/2023,499.26300,"$42,042.94","Missing","Missing","Missing","Missing",Long Term,,"","",""
MRK,MERCK & CO. INC.,10/09/2023,7.43450,"$626.06","$770.73","$103.6694","($144.67)","(18.77%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,01/09/2024,6.85120,"$576.94","$818.69","$119.4959","($241.75)","(29.53%)",Long Term,,"","",""
MRK,MERCK & CO. INC.,04/08/2024,6.51850,"$548.92","$823.96","$126.4033","($275.04)","(33.38%)",Long Term,,"","",""
MSFT,MICROSOFT CORP,01/13/1995,199.51500,"$103,781.72","$787.58","$3.9475","$102,994.14","13077.29%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/11/1996,800.00000,"$416,136.00","$8,298.00","$10.3725","$407,838.00","4914.90%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/09/2011,6.66500,"$3,466.93","$160.00","$24.0060","$3,306.93","2066.83%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/08/2011,6.19200,"$3,220.89","$161.07","$26.0126","$3,059.82","1899.68%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/08/2011,7.93500,"$4,127.55","$202.57","$25.5287","$3,924.98","1937.59%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/08/2012,6.37900,"$3,318.16","$204.16","$32.0050","$3,114.00","1525.27%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/14/2012,7.00700,"$3,644.83","$205.43","$29.3178","$3,439.40","1674.24%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/13/2012,6.71500,"$3,492.94","$206.84","$30.8027","$3,286.10","1588.72%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/13/2012,8.76800,"$4,560.85","$239.41","$27.3050","$4,321.44","1805.04%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/14/2013,8.62200,"$4,484.91","$241.42","$28.0005","$4,243.49","1757.72%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/13/2013,6.95600,"$3,618.30","$243.41","$34.9928","$3,374.89","1386.50%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/12/2013,7.48800,"$3,895.03","$245.00","$32.7190","$3,650.03","1489.81%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/12/2013,7.99100,"$4,156.68","$300.36","$37.5873","$3,856.32","1283.90%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/13/2014,7.87200,"$4,094.78","$302.60","$38.4400","$3,792.18","1253.20%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/12/2014,7.47700,"$3,889.31","$304.81","$40.7664","$3,584.50","1175.98%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/11/2014,6.56700,"$3,415.96","$306.90","$46.7337","$3,109.06","1013.05%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/11/2014,7.27000,"$3,781.64","$341.82","$47.0179","$3,439.82","1006.32%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/12/2015,8.34800,"$4,342.38","$344.07","$41.2159","$3,998.31","1162.06%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/11/2015,7.41000,"$3,854.46","$346.66","$46.7827","$3,507.80","1011.88%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/10/2015,8.09600,"$4,211.30","$348.96","$43.1028","$3,862.34","1106.81%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/10/2015,7.37000,"$3,833.65","$408.15","$55.3799","$3,425.50","839.27%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/10/2016,7.76200,"$4,037.56","$410.81","$52.9258","$3,626.75","882.83%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/09/2016,7.98100,"$4,151.48","$413.60","$51.8231","$3,737.88","903.74%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/08/2016,7.22500,"$3,758.23","$416.47","$57.6429","$3,341.76","802.40%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/08/2016,7.38900,"$3,843.54","$454.00","$61.4427","$3,389.54","746.59%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/15/2019,4.61500,"$2,400.58","$538.66","$116.7194","$1,861.92","345.66%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/14/2019,4.08600,"$2,125.41","$540.78","$132.3495","$1,584.63","293.03%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/13/2019,3.94600,"$2,052.59","$542.66","$137.5215","$1,509.93","278.25%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/13/2019,3.91600,"$2,036.99","$603.66","$154.1522","$1,433.33","237.44%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/13/2020,4.19100,"$2,180.03","$605.66","$144.5144","$1,574.37","259.94%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/12/2020,3.20400,"$1,666.62","$607.79","$189.6973","$1,058.83","174.21%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/10/2020,2.88300,"$1,499.65","$609.43","$211.3874","$890.22","146.07%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/10/2020,3.16200,"$1,644.78","$670.79","$212.1410","$973.99","145.20%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/11/2021,2.84000,"$1,477.28","$672.56","$236.8169","$804.72","119.65%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/10/2021,2.63300,"$1,369.61","$674.15","$256.0387","$695.46","103.16%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/09/2021,2.25000,"$1,170.38","$675.63","$300.2800","$494.75","73.23%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/09/2021,2.24200,"$1,166.22","$749.41","$334.2596","$416.81","55.62%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/10/2022,2.65700,"$1,382.09","$750.80","$282.5743","$631.29","84.08%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/09/2022,2.77600,"$1,443.99","$752.45","$271.0555","$691.54","91.91%",Long Term,,"","",""
MSFT,MICROSOFT CORP,09/08/2022,2.92300,"$1,520.46","$754.17","$258.0123","$766.29","101.61%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/08/2022,3.36500,"$1,750.37","$829.14","$246.4012","$921.23","111.11%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/09/2023,3.22000,"$1,674.95","$831.43","$258.2081","$843.52","101.45%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/08/2023,2.56200,"$1,332.68","$833.62","$325.3786","$499.06","59.87%",Long Term,,"","",""
MSFT,MICROSOFT CORP,12/15/2023,2.48050,"$1,290.28","$921.35","$371.4372","$368.93","40.04%",Long Term,,"","",""
MSFT,MICROSOFT CORP,03/14/2024,2.17300,"$1,130.33","$923.21","$424.8550","$207.12","22.43%",Long Term,,"","",""
MSFT,MICROSOFT CORP,06/13/2024,2.09400,"$1,089.24","$924.84","$441.6619","$164.40","17.78%",Long Term,,"","",""
NMZ,NUVEEN MUNI HIGH INC OPP,05/29/2024,558.00000,"$5,624.64","$5,647.01","$10.1201","($22.37)","(0.40%)",Long Term,,"","",""
NMZ,NUVEEN MUNI HIGH INC OPP,09/17/2024,850.00000,"$8,568.00","$9,942.11","$11.6966","($1,374.11)","(13.82%)",334 days,,"","",""
NUW,NUVEEN AMT FREE MUNICIPA,10/03/2024,1000.00000,"$13,680.00","$14,340.00","$14.3400","($660.00)","(4.60%)",318 days,,"","",""
NXP,NUVEEN SELECT TAX-FREE I,07/10/2024,462.00000,"$6,444.90","$6,729.03","$14.5650","($284.13)","(4.22%)",Long Term,,"","",""
OGN,ORGANON & CO,01/24/1994,31.70000,"$299.25","$119.79","$3.7789","$179.46","149.81%",Long Term,,"","",""
OGN,ORGANON & CO,07/08/2011,0.86570,"$8.17","$14.80","$17.0960","($6.63)","(44.80%)",Long Term,,"","",""
OGN,ORGANON & CO,10/07/2011,0.98400,"$9.29","$14.96","$15.2033","($5.67)","(37.90%)",Long Term,,"","",""
OGN,ORGANON & CO,01/09/2012,0.91340,"$8.62","$16.72","$18.3052","($8.10)","(48.44%)",Long Term,,"","",""
OGN,ORGANON & CO,04/09/2012,0.91880,"$8.67","$16.92","$18.4153","($8.25)","(48.76%)",Long Term,,"","",""
OGN,ORGANON & CO,07/09/2012,0.86080,"$8.13","$17.09","$19.8536","($8.96)","(52.43%)",Long Term,,"","",""
OGN,ORGANON & CO,10/05/2012,0.77910,"$7.35","$17.27","$22.1666","($9.92)","(57.44%)",Long Term,,"","",""
OGN,ORGANON & CO,01/08/2013,0.88590,"$8.36","$17.84","$20.1377","($9.48)","(53.14%)",Long Term,,"","",""
OGN,ORGANON & CO,04/05/2013,0.83870,"$7.92","$18.02","$21.4856","($10.10)","(56.05%)",Long Term,,"","",""
OGN,ORGANON & CO,07/08/2013,0.80380,"$7.59","$18.19","$22.6300","($10.60)","(58.27%)",Long Term,,"","",""
OGN,ORGANON & CO,10/07/2013,0.80390,"$7.59","$18.36","$22.8387","($10.77)","(58.66%)",Long Term,,"","",""
OGN,ORGANON & CO,01/08/2014,0.79360,"$7.49","$18.96","$23.8911","($11.47)","(60.50%)",Long Term,,"","",""
OGN,ORGANON & CO,10/07/2015,0.63120,"$5.96","$15.18","$24.0494","($9.22)","(60.74%)",Long Term,,"","",""
OGN,ORGANON & CO,04/08/2019,0.62650,"$5.91","$24.22","$38.6592","($18.31)","(75.60%)",Long Term,,"","",""
OGN,ORGANON & CO,07/09/2019,0.60230,"$5.69","$24.40","$40.5114","($18.71)","(76.68%)",Long Term,,"","",""
OGN,ORGANON & CO,10/08/2019,0.61660,"$5.82","$24.55","$39.8151","($18.73)","(76.29%)",Long Term,,"","",""
OGN,ORGANON & CO,01/09/2020,0.64180,"$6.06","$27.41","$42.7080","($21.35)","(77.89%)",Long Term,,"","",""
OGN,ORGANON & CO,04/08/2020,0.72980,"$6.89","$27.59","$37.8049","($20.70)","(75.03%)",Long Term,,"","",""
