Model,Symbol,Name,Weight
Fixed (T),BINC,iShares Flexible Income Active ETF,25.5
Fixed (T),MINO,PIMCO Muncpl Income Oppos Act Ex-Trd,20
Fixed (T),HYMB,SPDR Nuveen ICE High Yield Muncpl Bd ETF,15
Fixed (T),XSVN,BondBloxx Bloomberg SevenYrTrgDurUSTrETF,10
Fixed (T),GLDM,SPDR® Gold MiniShares,1.5
Fixed (T),BOXX,Alpha Architect 1-3 Month Box ETF,13
Fixed (T),JMST,JPMorgan Ultra-Short Municipal Inc ETF,15
