Model,Symbol,Name,Price,Target Percent
"Fixed-Income (Tax Aware)","BINC","iShares Flexible Income Active ETF",52.63,0.0
"Fixed-Income (Tax Aware)","MINO","PIMCO Muncpl Income Oppos Act Ex-Trd",43.98,0.0
"Fixed-Income (Tax Aware)","HYMB","SPDR Nuveen ICE High Yield Muncpl Bd ETF",24.37,0.0
"Fixed-Income (Tax Aware)","XSVN","BondBloxx Bloomberg SevenYrTrgDurUSTrETF",47.81,0.0
"Fixed-Income (Tax Aware)","GLDM","SPDR® Gold MiniShares",66.47,0.0
"Fixed-Income (Tax Aware)","BOXX","Alpha Architect 1-3 Month Box ETF",113.08,0.0
"Fixed-Income (Tax Aware)","JMST","JPMorgan Ultra-Short Municipal Inc ETF",50.90,0.0
